================================================================================
未归类药物清单
================================================================================

Health 组未归类药物（按使用频率排序）:
================================================================================

   1. 	                                                  (使用 1,760,637 次)
1543. 氯氮平片	                                              (使用 80 次)
1544. 复方氨林巴比妥	                                           (使用 80 次)
1545. 雷替曲塞	                                              (使用 79 次)
1546. 硫酸阿托品片	                                            (使用 79 次)
1547. 拜复乐	                                               (使用 79 次)
1548. 硫酸阿托品片(民生)	                                        (使用 79 次)
1549. 复方泼尼松龙(复方强龙)	                                      (使用 78 次)
1550. 悦而	                                                (使用 78 次)
1551. 纳洛酮	                                               (使用 78 次)
1552. 培哚普利片	                                             (使用 78 次)
1553. 培哚普利(定坦)	                                          (使用 78 次)
1554. 米氮平	                                               (使用 77 次)
1555. 英脱利匹特	                                             (使用 77 次)
1556. 托吡卡胺	                                              (使用 77 次)
1557. 长春地辛	                                              (使用 77 次)
1558. 纳米炭	                                               (使用 77 次)
1559. 硼替佐米	                                              (使用 77 次)
1560. 蓉生静丙	                                              (使用 77 次)
1561. 鱼精蛋白	                                              (使用 77 次)
1562. 脂肪乳注射液(c14-24)	                                    (使用 77 次)
1563. 聚维酮碘溶液(天源,盘锦)	                                     (使用 76 次)
1564. 左洛复	                                               (使用 76 次)
1565. 聚维酮碘溶液	                                            (使用 76 次)
1566. 左氨氯地平	                                             (使用 76 次)
1567. 盐酸卡替洛尔滴眼液	                                         (使用 76 次)
1568. 美开朗	                                               (使用 76 次)
1569. 三七粉	                                               (使用 76 次)
1570. 丹参(紫丹参)	                                           (使用 76 次)
1571. 白芍总苷	                                              (使用 76 次)
1572. 西尼地平	                                              (使用 75 次)
1573. 艾诺宁	                                               (使用 75 次)
1574. 顺铂	                                                (使用 75 次)
1575. 帕罗西汀	                                              (使用 75 次)
1576. 注射用盐酸伊达比星	                                         (使用 75 次)
1577. 美敏伪麻溶液	                                            (使用 74 次)
1578. 泼尼松龙	                                              (使用 74 次)
1579. 康多宁	                                               (使用 74 次)
1580. 酮替芬	                                               (使用 74 次)
1581. 惠菲宁	                                               (使用 74 次)
1582. 雅美罗	                                               (使用 74 次)
1583. 可兰特	                                               (使用 74 次)
1584. 托珠单抗注射液	                                           (使用 74 次)
1585. 盐酸伊伐布雷定片	                                          (使用 74 次)
1586. 甘油磷酸钠注射液	                                          (使用 73 次)
1587. 对乙酰氨基酚缓释片	                                         (使用 73 次)
1588. 格利福斯	                                              (使用 73 次)
1589. 多西他赛注射液(扬子江)	                                      (使用 73 次)
1590. 泰诺林	                                               (使用 73 次)
1591. 羟考酮	                                               (使用 73 次)
1592. 碘化油	                                               (使用 72 次)
1593. 氟哌利多	                                              (使用 72 次)
1594. 甲氨蝶呤注射液	                                           (使用 72 次)
1595. 高锰酸钾	                                              (使用 72 次)
1596. 地黄(生地黄)	                                           (使用 72 次)
1597. 甲氨蝶呤注射液(辉瑞)	                                       (使用 72 次)
1598. 氢氯噻嗪片(常州制药)	                                       (使用 72 次)
1599. 替加环素	                                              (使用 71 次)
1600. 拉西地平	                                              (使用 70 次)
1601. 卡托普利片	                                             (使用 70 次)
1602. 卡托普利片(华中)	                                         (使用 70 次)
1603. 维生素b12	                                            (使用 70 次)
1604. 羟甲唑啉	                                              (使用 70 次)
1605. 苯溴马隆(立加利仙)	                                        (使用 70 次)
1606. 立加利仙	                                              (使用 70 次)
1607. 特利加压素	                                             (使用 70 次)
1608. [肠内]肾病型-费瑞卡120ml	                                  (使用 70 次)
1609. 氢化可的松	                                             (使用 70 次)
1610. 氢氯噻嗪片(仁和堂)	                                        (使用 70 次)
1611. 尼可刹米	                                              (使用 69 次)
1612. 氟美童	                                               (使用 68 次)
1613. 奥沙西泮片	                                             (使用 68 次)
1614. 西酞普兰	                                              (使用 68 次)
1615. 桂枝	                                                (使用 68 次)
1616. 匹伐他汀	                                              (使用 68 次)
1617. 奥沙西泮片(益民)	                                         (使用 68 次)
1618. 氟米龙滴眼液	                                            (使用 68 次)
1619. 丁丙诺啡	                                              (使用 66 次)
1620. 甲硝唑片	                                              (使用 66 次)
1621. 氨茶碱	                                               (使用 66 次)
1622. 甲硝唑片(科伦)	                                          (使用 66 次)
1623. 缩宫素	                                               (使用 66 次)
1624. 泊沙康唑	                                              (使用 65 次)
1625. 麻黄碱	                                               (使用 65 次)
1626. 阿仑膦酸	                                              (使用 65 次)
1627. 恩度	                                                (使用 65 次)
1628. 重组人血管内皮抑制素注射液	                                     (使用 65 次)
1629. 怡可安	                                               (使用 65 次)
1630. 萘莫司他(扶渡)	                                          (使用 64 次)
1631. 薏苡仁(米仁)	                                           (使用 64 次)
1632. 草药方代煎10帖	                                          (使用 64 次)
1633. 硝酸甘油【冠状动脉CTA】	                                     (使用 64 次)
1634. 碘化油(碘化油(上海))	                                      (使用 64 次)
1635. 金银花(忍冬花)	                                          (使用 64 次)
1636. 美托洛尔【冠状动脉CTA】	                                     (使用 64 次)
1637. 石膏	                                                (使用 64 次)
1638. 破伤风抗毒素	                                            (使用 63 次)
1639. 盐酸丙美卡因滴眼液	                                         (使用 63 次)
1640. 吗替麦考酚酯胶囊	                                          (使用 63 次)
1641. 丙种球蛋白	                                             (使用 63 次)
1642. 爱尔凯因	                                              (使用 63 次)
1643. 氯氮平片(恩华)	                                          (使用 62 次)
1644. 胰激肽原酶肠溶片	                                          (使用 62 次)
1645. 瑞美隆	                                               (使用 62 次)
1646. 氨溴特罗口服溶液	                                          (使用 62 次)
1647. 吗替麦考酚酯	                                            (使用 62 次)
1648. 爽特	                                                (使用 62 次)
1649. 易坦静	                                               (使用 62 次)
1650. 他克莫司胶囊(中美,华东)	                                     (使用 61 次)
1651. 注射用紫杉醇(白蛋白结合型)(石药)	                                (使用 61 次)
1652. 利福平胶囊(浙江医药,新昌)	                                    (使用 61 次)
1653. 维生素b2	                                             (使用 61 次)
1654. 谷胱甘肽	                                              (使用 61 次)
1655. 艾叶	                                                (使用 60 次)
1656. 复方碘甘油	                                             (使用 60 次)
1657. 芒硝(芒硝（浙）)	                                         (使用 60 次)
1658. 尼莫地平注射液	                                           (使用 60 次)
1659. 尼莫地平注射液(辰欣)	                                       (使用 60 次)
1660. 黄连(黄连片)	                                           (使用 60 次)
1661. 阿尔治	                                               (使用 60 次)
1662. 制霉素	                                               (使用 60 次)
1663. 胶体果胶铋	                                             (使用 60 次)
1664. 鸡内金(鸡肫皮)	                                          (使用 60 次)
1665. 来氟米特(施尼平)	                                         (使用 60 次)
1666. 芬太尼透皮贴剂	                                           (使用 59 次)
1667. 他克莫司	                                              (使用 59 次)
1668. 盐酸氯丙嗪注射液(禾丰)	                                      (使用 59 次)
1669. 安维汀	                                               (使用 59 次)
1670. 盐酸氯丙嗪注射液	                                          (使用 59 次)
1671. 多瑞吉	                                               (使用 59 次)
1672. 信迪利单抗注射液	                                          (使用 59 次)
1673. 硫酸阿米卡星注射液(齐鲁)	                                     (使用 59 次)
1674. 达伯舒	                                               (使用 59 次)
1675. 左西孟旦	                                              (使用 59 次)
1676. 培美曲塞二钠	                                            (使用 59 次)
1677. 氟尿嘧啶	                                              (使用 58 次)
1678. 盐酸曲美他嗪片	                                           (使用 58 次)
1679. 格隆溴铵福莫特罗	                                          (使用 58 次)
1680. 根克通	                                               (使用 58 次)
1681. 氯丙嗪	                                               (使用 57 次)
1682. 溴吡斯的明	                                             (使用 57 次)
1683. 派洛	                                                (使用 57 次)
1684. 注射用酒石酸长春瑞滨	                                        (使用 57 次)
1685. 硝普钠	                                               (使用 57 次)
1686. 乐唯	                                                (使用 57 次)
1687. 硝酸甘油片	                                             (使用 57 次)
1688. 曲安奈德	                                              (使用 57 次)
1689. 熟地黄	                                               (使用 56 次)
1690. 利动	                                                (使用 56 次)
1691. 番泻叶(泻叶)	                                           (使用 56 次)
1692. 枸橼酸钠	                                              (使用 56 次)
1693. 北沙参	                                               (使用 56 次)
1694. 锡类散	                                               (使用 56 次)
1695. 决奈达隆	                                              (使用 56 次)
1696. 玄参	                                                (使用 56 次)
1697. 更昔洛韦眼用凝胶	                                          (使用 56 次)
1698. 去氨加压素	                                             (使用 56 次)
1699. 丽科明	                                               (使用 56 次)
1700. 桑白皮	                                               (使用 56 次)
1701. 杜仲(盐杜仲)	                                           (使用 56 次)
1702. 联苯苄唑	                                              (使用 56 次)
1703. 吲哚美辛缓释胶囊	                                          (使用 55 次)
1704. 金刚烷胺	                                              (使用 55 次)
1705. 骁悉	                                                (使用 55 次)
1706. 吲哚美辛缓释胶囊(红林)	                                      (使用 55 次)
1707. 氟伐他汀	                                              (使用 55 次)
1708. 氯氮平	                                               (使用 55 次)
1709. 普乐可复	                                              (使用 55 次)
1710. 贝林	                                                (使用 54 次)
1711. 依托泊苷	                                              (使用 54 次)
1712. 碳酸镧	                                               (使用 54 次)
1713. 贝莱	                                                (使用 54 次)
1714. 巴瑞替尼(艾乐明)	                                         (使用 54 次)
1715. 马来酸氟伏沙明片	                                          (使用 54 次)
1716. 缬沙坦氨氯地平(诺华)	                                       (使用 54 次)
1717. 盐酸氨溴索片	                                            (使用 54 次)
1718. 维生素b12注射液(长江,迪康)	                                  (使用 54 次)
1719. 肾上腺色腙	                                             (使用 54 次)
1720. 复方氨基酸注射液(9aa)	                                     (使用 54 次)
1721. 氨基酸(15)腹膜透析液	                                      (使用 54 次)
1722. 头孢丙烯片	                                             (使用 53 次)
1723. 吡拉西坦	                                              (使用 53 次)
1724. 希能	                                                (使用 53 次)
1725. 哈西奈德	                                              (使用 53 次)
1726. 羧甲司坦	                                              (使用 53 次)
1727. 噻托溴铵	                                              (使用 53 次)
1728. 盐酸伊托必利胶囊	                                          (使用 53 次)
1729. 伊天	                                                (使用 53 次)
1730. 红花	                                                (使用 52 次)
1731. 比索洛尔片	                                             (使用 52 次)
1732. 唑来膦酸注射液	                                           (使用 52 次)
1733. 盐酸氯丙嗪片(大红鹰)	                                       (使用 52 次)
1734. 大黄	                                                (使用 52 次)
1735. 琥珀酸亚铁	                                             (使用 52 次)
1736. 卡马西平片	                                             (使用 52 次)
1737. 川芎	                                                (使用 52 次)
1738. 注射用丙戊酸钠(科瑞德)	                                      (使用 52 次)
1739. 盐酸氯丙嗪片	                                            (使用 52 次)
1740. 复方氨基酸(9AA)(9AA复方氨基酸)	                              (使用 52 次)
1741. 右丙亚胺	                                              (使用 52 次)
1742. 沙美特罗替卡松(舒利迭(50/250))	                              (使用 52 次)
1743. 注射用盐酸艾司洛尔	                                         (使用 51 次)
1744. 双歧杆菌三联活菌散	                                         (使用 51 次)
1745. 替诺福韦二吡呋酯	                                          (使用 51 次)
1746. 注射用盐酸艾司洛尔(三联)	                                     (使用 51 次)
1747. 巴瑞替尼(艾乐明*)	                                        (使用 50 次)
1748. 重组人血小板生成素	                                         (使用 50 次)
1749. 贝伐珠单抗	                                             (使用 50 次)
1750. 阿桔片(复方桔梗)	                                         (使用 50 次)
1751. 瑞必乐	                                               (使用 50 次)
1752. 瑞复美	                                               (使用 49 次)
1753. 甘油果糖	                                              (使用 49 次)
1754. 胰激肽原酶	                                             (使用 49 次)
1755. 来那度胺胶囊	                                            (使用 49 次)
1756. 多柔比星脂质体	                                           (使用 49 次)
1757. 盐酸多柔比星脂质体注射液(金远)	                                  (使用 49 次)
1758. 草药方自煎5帖	                                           (使用 48 次)
1759. 淮小麦	                                               (使用 48 次)
1760. 人参片(生晒参片)	                                         (使用 48 次)
1761. 搏力高	                                               (使用 48 次)
1762. 广藿香(藿香)	                                           (使用 48 次)
1763. 布林佐胺滴眼液	                                           (使用 48 次)
1764. 三七片(田七)	                                           (使用 48 次)
1765. 赤芍	                                                (使用 48 次)
1766. 派立明	                                               (使用 48 次)
1767. 天花粉	                                               (使用 48 次)
1768. 历设得	                                               (使用 48 次)
1769. 猪苓	                                                (使用 48 次)
1770. 草药方代煎(常规)5帖	                                       (使用 48 次)
1771. 荧光素钠注射液	                                           (使用 48 次)
1772. 吡诺克辛滴眼液	                                           (使用 48 次)
1773. 地舒单抗(安加维)	                                         (使用 48 次)
1774. 斯鲁利单抗	                                             (使用 48 次)
1775. 白花蛇舌草(蛇舌草)	                                        (使用 48 次)
1776. 坎地沙坦酯片	                                            (使用 48 次)
1777. 氨茶碱片(衡山)	                                          (使用 48 次)
1778. 氨茶碱片	                                              (使用 48 次)
1779. 卡林优	                                               (使用 48 次)
1780. 世可	                                                (使用 47 次)
1781. 普罗帕酮	                                              (使用 47 次)
1782. 复方电解质眼内冲洗液	                                        (使用 47 次)
1783. 维生素d	                                              (使用 47 次)
1784. 诺仕	                                                (使用 47 次)
1785. 腹膜透析液(乳酸盐-g2.5%)	                                  (使用 47 次)
1786. 腹膜透析液(乳酸盐-g2.5%)(百特)	                              (使用 47 次)
1787. 十一酸睾酮软胶囊	                                          (使用 47 次)
1788. 哌唑嗪	                                               (使用 46 次)
1789. 聚桂醇注射液(天宇)	                                        (使用 46 次)
1790. 普瑞巴林胶囊	                                            (使用 46 次)
1791. 枸橼酸铋钾胶囊	                                           (使用 46 次)
1792. 司维拉姆	                                              (使用 46 次)
1793. 复方电解质	                                             (使用 46 次)
1794. 卡维地洛	                                              (使用 46 次)
1795. 炔诺酮片	                                              (使用 46 次)
1796. 枸橼酸铋钾胶囊(济川)	                                       (使用 46 次)
1797. 得理多	                                               (使用 46 次)
1798. 聚桂醇注射液	                                            (使用 46 次)
1799. 希德	                                                (使用 46 次)
1800. 炔诺酮片(信谊,天平)	                                       (使用 46 次)
1801. 枸橼酸坦度螺酮片	                                          (使用 46 次)
1802. 孟鲁司特钠颗粒	                                           (使用 45 次)
1803. 孟鲁司特钠(孟鲁司特钠(齐鲁))	                                  (使用 45 次)
1804. 羟基脲	                                               (使用 45 次)
1805. 杰润	                                                (使用 44 次)
1806. 布洛芬缓释胶囊	                                           (使用 44 次)
1807. 利福昔明片	                                             (使用 44 次)
1808. 芬必得	                                               (使用 44 次)
1809. 利培酮片	                                              (使用 44 次)
1810. 氯化琥珀胆碱(司可林)	                                       (使用 44 次)
1811. 五味子(蒸五味子)	                                         (使用 44 次)
1812. 奥兰之	                                               (使用 44 次)
1813. 鱼腥草(干鱼腥草)	                                         (使用 44 次)
1814. 盐酸苯海索片(天士力,帝益)	                                    (使用 44 次)
1815. 茚达特罗格隆溴铵吸入粉雾剂用胶囊	                                  (使用 44 次)
1816. 注射用两性霉素b(华北)	                                      (使用 44 次)
1817. 复方电解质注射液	                                          (使用 44 次)
1818. 勃脉力a	                                              (使用 44 次)
1819. 龙骨	                                                (使用 44 次)
1820. 昔服申	                                               (使用 44 次)
1821. 盐酸苯海索片	                                            (使用 44 次)
1822. 复方氨林巴比妥注射液(现代,哈森)	                                 (使用 44 次)
1823. 苍术(麸炒苍术)	                                          (使用 44 次)
1824. 注射用两性霉素b	                                          (使用 44 次)
1825. 肠内营养海洋鱼皮胶原低聚肽粉（普适康）	                               (使用 44 次)
1826. [肠内]肝病型-力全甘360g	                                   (使用 44 次)
1827. 沙利度胺	                                              (使用 43 次)
1828. 多西他赛	                                              (使用 43 次)
1829. 硫酸钡(Ⅱ型)	                                           (使用 42 次)
1830. 艾考糊精腹膜透析液(爱透佳)	                                    (使用 42 次)
1831. 莫西沙星(拜复乐)	                                         (使用 42 次)
1832. 英卡膦酸二钠(茵福)	                                        (使用 42 次)
1833. 布洛芬注射液	                                            (使用 42 次)
1834. 盐酸乙胺丁醇片(民生)	                                       (使用 42 次)
1835. 环孢素软胶囊	                                            (使用 42 次)
1836. 布洛芬注射液(苑东)	                                        (使用 42 次)
1837. 度普利尤单抗(达必妥(预充式))	                                  (使用 42 次)
1838. 吡嗪酰胺	                                              (使用 42 次)
1839. 艾奕	                                                (使用 42 次)
1840. 盐酸乙胺丁醇片	                                           (使用 42 次)
1841. 新赛斯平	                                              (使用 42 次)
1842. 吡非尼酮	                                              (使用 42 次)
1843. 溴隐亭	                                               (使用 42 次)
1844. 卡培他滨	                                              (使用 42 次)
1845. 利福平	                                               (使用 42 次)
1846. [肠内]整蛋白-希瑞臻400g	                                   (使用 42 次)
1847. 甘油磷酸钠	                                             (使用 42 次)
1848. 新福林	                                               (使用 42 次)
1849. 腹膜透析液(百特)	                                         (使用 42 次)
1850. 盐酸去氧肾上腺素注射液	                                       (使用 42 次)
1851. 替吉奥胶囊	                                             (使用 42 次)
1852. 氨甲苯酸	                                              (使用 41 次)
1853. 伊布利特	                                              (使用 41 次)
1854. 尼可刹米注射液(瑞阳)	                                       (使用 41 次)
1855. 注射用重组人白介素-11(ⅰ)	                                   (使用 41 次)
1856. 百杰依	                                               (使用 41 次)
1857. 利奈唑胺(斯沃)	                                          (使用 40 次)
1858. 丙戊酸钠片(湘中)	                                         (使用 40 次)
1859. 索乐	                                                (使用 40 次)
1860. 甘舒霖30r	                                            (使用 40 次)
1861. 百合	                                                (使用 40 次)
1862. 帕捷特	                                               (使用 40 次)
1863. 丙戊酸钠片	                                             (使用 40 次)
1864. 氟康唑片	                                              (使用 40 次)
1865. 生白芍	                                               (使用 40 次)
1866. 淡竹叶	                                               (使用 40 次)
1867. 帕妥珠单抗注射液	                                          (使用 40 次)
1868. 复方丹参	                                              (使用 40 次)
1869. 竹茹	                                                (使用 40 次)
1870. 康锐	                                                (使用 40 次)
1871. 夏枯草	                                               (使用 40 次)
1872. 广乐	                                                (使用 40 次)
1873. 重楼(七叶一枝花)	                                         (使用 40 次)
1874. 对乙酰氨基酚	                                            (使用 39 次)
1875. 吗替麦考酚酯片(海正)	                                       (使用 39 次)
1876. 脂肪乳(c14-24)	                                       (使用 39 次)
1877. 氢化可的松注射液	                                          (使用 39 次)
1878. 盐酸左氧氟沙星滴耳液	                                        (使用 39 次)
1879. 托珠单抗	                                              (使用 39 次)
1880. 培哚普利	                                              (使用 39 次)
1881. 吗替麦考酚酯片	                                           (使用 39 次)
1882. 左拂	                                                (使用 39 次)
1883. 氢化可的松注射液(容生,国药)	                                   (使用 39 次)
1884. 氯化钠【颈内静脉置管留置术】	                                    (使用 38 次)
1885. 天晴依泰	                                              (使用 38 次)
1886. 芙露饮	                                               (使用 38 次)
1887. 吡仑帕奈(卫克泰2mg)	                                      (使用 38 次)
1888. 口服补液盐散(ⅲ)	                                         (使用 38 次)
1889. 卡替洛尔	                                              (使用 38 次)
1890. 双可	                                                (使用 38 次)
1891. 太捷信	                                               (使用 38 次)
1892. 己酮可可碱氯化钠注射液	                                       (使用 38 次)
1893. 匹多莫德口服溶液	                                          (使用 38 次)
1894. 苹果酸奈诺沙星胶囊	                                         (使用 38 次)
1895. 聚维酮碘	                                              (使用 38 次)
1896. 玛巴洛沙韦(速福达)	                                        (使用 38 次)
1897. 博叶	                                                (使用 38 次)
1898. 伊达比星	                                              (使用 38 次)
1899. 比卡鲁胺片	                                             (使用 37 次)
1900. 美敏伪麻	                                              (使用 37 次)
1901. 伊伐布雷定	                                             (使用 37 次)
1902. 锝[99mtc]喷替酸盐注射液	                                   (使用 37 次)
1903. 普拉洛芬滴眼液	                                           (使用 37 次)
1904. 白茅根	                                               (使用 36 次)
1905. 安可达	                                               (使用 36 次)
1906. 肠内营养脂肪组件（费瑞卡）	                                     (使用 36 次)
1907. 灵芝(赤芝)	                                            (使用 36 次)
1908. 紫菀	                                                (使用 36 次)
1909. 太子参(孩儿参)	                                          (使用 36 次)
1910. 党参（外滩）	                                            (使用 36 次)
1911. 头孢他啶阿维巴坦钠(思福妥)	                                    (使用 36 次)
1912. 硼酸	                                                (使用 36 次)
1913. 火麻仁	                                               (使用 36 次)
1914. 草药方代煎5帖	                                           (使用 36 次)
1915. 厚朴(川朴)	                                            (使用 36 次)
1916. 布洛芬片(新华)	                                          (使用 36 次)
1917. 浮小麦	                                               (使用 36 次)
1918. 茯苓（外滩）	                                            (使用 36 次)
1919. 柴胡（外滩）	                                            (使用 36 次)
1920. 重组人血管内皮抑制素	                                        (使用 36 次)
1921. 升麻	                                                (使用 35 次)
1922. 锝[99mTc]喷替酸盐	                                      (使用 35 次)
1923. 奥硝唑氯化钠注射液	                                         (使用 35 次)
1924. 奥沙西泮	                                              (使用 35 次)
1925. 氟米龙	                                               (使用 35 次)
1926. 磷酸可待因片(国药)	                                        (使用 35 次)
1927. 卡托普利	                                              (使用 35 次)
1928. 丙泊酚中/长链脂肪乳【无痛胃镜肠镜检查】	                              (使用 35 次)
1929. 磷酸可待因片	                                            (使用 35 次)
1930. 信迪利单抗	                                             (使用 34 次)
1931. 注射用硫酸多粘菌素b	                                        (使用 34 次)
1932. 注射用硫酸黏菌素	                                          (使用 34 次)
1933. 碘海醇【上腹部CT增强】	                                      (使用 34 次)
1934. 碘海醇【冠状动脉CTA】	                                      (使用 34 次)
1935. 氧氟沙星滴耳液(尖峰)	                                       (使用 34 次)
1936. 注射用硫酸黏菌素(新亚,上药)	                                   (使用 34 次)
1937. 氧氟沙星滴耳液	                                           (使用 34 次)
1938. 注射用硫酸多粘菌素b(第一生化,上药)	                               (使用 34 次)
1939. 肠内营养电解质口服液（君蓓乐维）	                                  (使用 34 次)
1940. 乐瑞卡	                                               (使用 34 次)
1941. 比卡鲁胺片(海正)	                                         (使用 34 次)
1942. 卫晶	                                                (使用 34 次)
1943. 盐酸帕洛诺司琼注射液	                                        (使用 34 次)
1944. 盐酸帕洛诺司琼注射液(奥赛康)	                                   (使用 34 次)
1945. 米索前列醇片(紫竹,华润)	                                     (使用 33 次)
1946. 尼可地尔片	                                             (使用 33 次)
1947. 内德滋	                                               (使用 33 次)
1948. 米索前列醇片	                                            (使用 33 次)
1949. 灯心草	                                               (使用 32 次)
1950. 迈可抒	                                               (使用 32 次)
1951. 丙戊酸钠口服溶液	                                          (使用 32 次)
1952. 喹硫平(喹硫平（合肥）)	                                      (使用 32 次)
1953. 法玛新	                                               (使用 32 次)
1954. 鳖甲(炙鳖甲)	                                           (使用 32 次)
1955. 知母	                                                (使用 32 次)
1956. 注射用三氧化二砷	                                          (使用 32 次)
1957. 姜半夏（外滩)	                                           (使用 32 次)
1958. 美沙拉秦肠溶片	                                           (使用 32 次)
1959. 黄芩（外滩）	                                            (使用 32 次)
1960. 盐酸布替萘芬乳膏	                                          (使用 32 次)
1961. 射干	                                                (使用 32 次)
1962. 氢溴酸西酞普兰片	                                          (使用 32 次)
1963. 安洁莎	                                               (使用 32 次)
1964. 肠内营养高蛋白型全营养素（伊全素）	                                 (使用 32 次)
1965. 山茱萸(蒸萸肉)	                                          (使用 32 次)
1966. 丙美卡因	                                              (使用 32 次)
1967. 葛根(野葛根)	                                           (使用 32 次)
1968. 苯环喹溴铵(必立汀)	                                        (使用 32 次)
1969. 喜普妙	                                               (使用 32 次)
1970. 大腹皮	                                               (使用 32 次)
1971. 注射用三氧化二砷(双鹭)	                                      (使用 32 次)
1972. 艾拉莫德(艾得辛)	                                         (使用 32 次)
1973. 复方氨基酸注射液(3aa)	                                     (使用 31 次)
1974. 氨溴特罗	                                              (使用 31 次)
1975. 长春瑞滨	                                              (使用 31 次)
1976. 多美素	                                               (使用 31 次)
1977. 喜格迈	                                               (使用 31 次)
1978. 盐酸米那普仑片(现代)	                                       (使用 30 次)
1979. 达卡巴嗪	                                              (使用 30 次)
1980. 阿奇霉素(石药)	                                          (使用 30 次)
1981. 破伤风人免疫球蛋白	                                         (使用 30 次)
1982. 阿奇霉素(阿奇霉素(石药))	                                    (使用 30 次)
1983. 斯鲁利单抗(汉斯状)	                                        (使用 30 次)
1984. 特瑞普利单抗注射液	                                         (使用 30 次)
1985. 碘海醇【心脏常规检查（超声）】	                                   (使用 30 次)
1986. 拓益	                                                (使用 30 次)
1987. 盐酸米那普仑片	                                           (使用 30 次)
1988. 比卡鲁胺	                                              (使用 29 次)
1989. 美沙拉秦	                                              (使用 29 次)
1990. 复方氨基酸(3AA)(3AA支链氨基酸)	                              (使用 29 次)
1991. 硫酸吗啡缓释片	                                           (使用 29 次)
1992. 美施康定	                                              (使用 29 次)
1993. 麻黄根	                                               (使用 28 次)
1994. 苦杏仁	                                               (使用 28 次)
1995. 炒白术	                                               (使用 28 次)
1996. 注射用卡瑞利珠单抗	                                         (使用 28 次)
1997. 黄芩配方颗粒	                                            (使用 28 次)
1998. 草药方自煎10帖	                                          (使用 28 次)
1999. 玉竹(生玉竹)	                                           (使用 28 次)
2000. 甲磺酸溴隐亭片	                                           (使用 28 次)
2001. 瓜蒌子	                                               (使用 28 次)
2002. 艾瑞卡	                                               (使用 28 次)
2003. 克霉唑阴道片	                                            (使用 28 次)
2004. 款冬花	                                               (使用 28 次)
2005. 枳实	                                                (使用 28 次)
2006. 细辛	                                                (使用 28 次)
2007. 赫赛汀	                                               (使用 28 次)
2008. 广藿香	                                               (使用 28 次)
2009. 吡嗪酰胺(红旗)	                                          (使用 28 次)
2010. 生大黄（6g）（外滩）	                                       (使用 28 次)
2011. 全氟丁烷微球	                                            (使用 28 次)
2012. 黄柏	                                                (使用 28 次)
2013. 来那度胺	                                              (使用 28 次)
2014. 姜半夏	                                               (使用 28 次)
2015. 宝丽婷	                                               (使用 28 次)
2016. 美法仑(迈维宁)	                                          (使用 28 次)
2017. 草药方代煎9帖	                                           (使用 28 次)
2018. 栀子(山栀子)	                                           (使用 28 次)
2019. 注射用曲妥珠单抗	                                          (使用 28 次)
2020. 妥泰	                                                (使用 28 次)
2021. 米力农	                                               (使用 28 次)
2022. 麻黄	                                                (使用 28 次)
2023. 山药	                                                (使用 28 次)
2024. 托吡酯片	                                              (使用 28 次)
2025. 高三尖杉酯碱注射液(民生)	                                     (使用 27 次)
2026. 高三尖杉酯碱注射液	                                         (使用 27 次)
2027. 碘海醇【ECG-床边心电图】	                                    (使用 27 次)
2028. 伊托必利	                                              (使用 27 次)
2029. 头孢丙烯	                                              (使用 27 次)
2030. 复方氨基酸(9aa)	                                        (使用 27 次)
2031. 乐卡地平	                                              (使用 27 次)
2032. 氟伏沙明	                                              (使用 27 次)
2033. 盐酸多塞平片(青平)	                                        (使用 26 次)
2034. 艾迪莎	                                               (使用 26 次)
2035. 微量元素	                                              (使用 26 次)
2036. 荧光素钠	                                              (使用 26 次)
2037. 乌美溴铵维兰特罗吸入粉雾剂	                                     (使用 26 次)
2038. 注射用盐酸博来霉素	                                         (使用 26 次)
2039. 欧乐欣	                                               (使用 26 次)
2040. 注射用盐酸博来霉素(海正,辉瑞)	                                  (使用 26 次)
2041. 枸橼酸莫沙必利片(亚宝)	                                      (使用 26 次)
2042. 美沙拉秦缓释颗粒	                                          (使用 26 次)
2043. 盐酸多塞平片	                                            (使用 26 次)
2044. 缩宫素注射液(新百)	                                        (使用 26 次)
2045. 唑来膦酸	                                              (使用 26 次)
2046. 甲硝唑氯化钠注射液	                                         (使用 26 次)
2047. 优诺安	                                               (使用 26 次)
2048. 左奥硝唑氯化钠注射液	                                        (使用 26 次)
2049. 卡马西平	                                              (使用 25 次)
2050. 聚桂醇	                                               (使用 25 次)
2051. 重组人白介素-11	                                         (使用 25 次)
2052. 注射用紫杉醇(白蛋白结合型)(恒瑞)	                                (使用 25 次)
2053. 坎地沙坦	                                              (使用 25 次)
2054. 布林佐胺	                                              (使用 24 次)
2055. 硼酸洗液	                                              (使用 24 次)
2056. 息宁	                                                (使用 24 次)
2057. 卡左双多巴(息宁)	                                         (使用 24 次)
2058. 莲子(莲肉)	                                            (使用 24 次)
2059. 捷佰舒	                                               (使用 24 次)
2060. 胞磷胆碱钠片	                                            (使用 24 次)
2061. 奥布替尼(宜诺凯)	                                         (使用 24 次)
2062. 静脉用人丙种球蛋白	                                         (使用 24 次)
2063. 硝酸毛果芸香碱滴眼液	                                        (使用 24 次)
2064. 注射用奈达铂	                                            (使用 24 次)
2065. 胸腺肽	                                               (使用 24 次)
2066. 醋酸戈舍瑞林缓释植入剂	                                       (使用 24 次)
2067. 泽泻（外滩）	                                            (使用 24 次)
2068. 大枣	                                                (使用 24 次)
